id,measure_id,measure_name,interval_type,value_type,measure_value,year_to_date_variance,budget_variance,decimal_accuracy,desired_direction,category,data_source_notes,city_perspective_note,year,period_number_in_year,target,note
4072,1.26,Food Bank Usage ,m,n,68260,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2016,5,NA,NA
4073,1.26,Food Bank Usage ,m,n,70720,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2016,6,NA,NA
4074,1.26,Food Bank Usage ,m,n,59220,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2016,7,NA,NA
4075,1.26,Food Bank Usage ,m,n,68710,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2016,8,NA,NA
4076,1.26,Food Bank Usage ,m,n,68420,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2016,9,NA,NA
4077,1.26,Food Bank Usage ,m,n,65160,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2016,10,NA,NA
4078,1.26,Food Bank Usage ,m,n,71665,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2016,11,NA,NA
4079,1.26,Food Bank Usage ,m,n,60650,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2016,12,NA,NA
4080,1.26,Food Bank Usage ,m,n,65270,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2017,1,NA,NA
4081,1.26,Food Bank Usage ,m,n,62440,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2017,2,NA,NA
4082,1.26,Food Bank Usage ,m,n,74680,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2017,3,NA,NA
4083,1.26,Food Bank Usage ,m,n,62125,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2017,4,NA,NA
4084,1.26,Food Bank Usage ,m,n,68620,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2017,5,NA,NA
4085,1.26,Food Bank Usage ,m,n,68050,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2017,6,NA,NA
4086,1.26,Food Bank Usage ,m,n,61300,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2017,7,NA,NA
4087,1.26,Food Bank Usage ,m,n,66210,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2017,8,NA,NA
4088,1.26,Food Bank Usage ,m,n,60640,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2017,9,NA,NA
4089,1.26,Food Bank Usage ,m,n,64110,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2017,10,NA,NA
4090,1.26,Food Bank Usage ,m,n,69000,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2017,11,NA,NA
4091,1.26,Food Bank Usage ,m,n,51960,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2017,12,NA,NA
4092,1.26,Food Bank Usage ,m,n,62550,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2018,1,NA,NA
4093,1.26,Food Bank Usage ,m,n,57685,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2018,2,NA,NA
4094,1.26,Food Bank Usage ,m,n,66600,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2018,3,NA,NA
4095,1.26,Food Bank Usage ,m,n,60369,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2018,4,NA,NA
4096,1.26,Food Bank Usage ,m,n,68158,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2018,5,NA,NA
4097,1.26,Food Bank Usage ,m,n,60402,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2018,6,NA,NA
4098,1.26,Food Bank Usage ,m,n,60009,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2018,7,NA,NA
4099,1.26,Food Bank Usage ,m,n,67023,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2018,8,NA,NA
4100,1.26,Food Bank Usage ,m,n,61799,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2018,9,NA,NA
4101,1.26,Food Bank Usage ,m,n,70705,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2018,10,NA,NA
4102,1.26,Food Bank Usage ,m,n,71764,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2018,11,NA,NA
4103,1.26,Food Bank Usage ,m,n,62755,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2018,12,NA,NA
4104,1.26,Food Bank Usage ,m,n,68534,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2019,1,NA,NA
4105,1.26,Food Bank Usage ,m,n,59733,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2019,2,NA,NA
4106,1.26,Food Bank Usage ,m,n,72726,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2019,3,NA,NA
4107,1.26,Food Bank Usage ,m,n,67523,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2019,4,NA,NA
4108,1.26,Food Bank Usage ,m,n,74752,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2019,5,NA,NA
4109,1.26,Food Bank Usage ,m,n,67604,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2019,6,NA,NA
4110,1.26,Food Bank Usage ,m,n,70286,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2019,7,NA,NA
4111,1.26,Food Bank Usage ,m,n,66604,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2019,8,NA,NA
4112,1.26,Food Bank Usage ,m,n,68340,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2019,9,NA,NA
4113,1.26,Food Bank Usage ,m,n,77584,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2019,10,NA,NA
4114,1.26,Food Bank Usage ,m,n,70689,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2019,11,NA,NA
4115,1.26,Food Bank Usage ,m,n,56922,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2019,12,NA,NA
4116,1.26,Food Bank Usage ,m,n,71011,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2020,1,NA,NA
4117,1.26,Food Bank Usage ,m,n,68254,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2020,2,NA,NA
4118,1.26,Food Bank Usage ,m,n,76135,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2020,3,NA,NA
4119,1.26,Food Bank Usage ,m,n,79901,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2020,4,NA,NA
4120,1.26,Food Bank Usage ,m,n,85293,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2020,5,NA,NA
4121,1.26,Food Bank Usage ,m,n,84123,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2020,6,NA,NA
4122,1.26,Food Bank Usage ,m,n,100903,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2020,7,NA,NA
4123,1.26,Food Bank Usage ,m,n,98808,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2020,8,NA,NA
4124,1.26,Food Bank Usage ,m,n,106415,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2020,9,NA,NA
4125,1.26,Food Bank Usage ,m,n,109699,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2020,10,NA,NA
4126,1.26,Food Bank Usage ,m,n,99659,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2020,11,NA,NA
4127,1.26,Food Bank Usage ,m,n,108709,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2020,12,NA,NA
4128,1.26,Food Bank Usage ,m,n,106160,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2021,1,NA,NA
4129,1.26,Food Bank Usage ,m,n,102874,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2021,2,NA,NA
4130,1.26,Food Bank Usage ,m,n,123128,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2021,3,NA,Food bank use increased during COVID-19 due to both new clients and existing clients using food banks more often.
4131,1.26,Food Bank Usage ,m,n,113910,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2021,4,NA,"Please view Daily Bread's Who’s Hungry 2021 Report (based on data from March 31, 2020 to April 1, 2021) https://www.dailybread.ca/research-and-advocacy/whos-hungry-report-2020/"
4132,1.26,Food Bank Usage ,m,n,112708,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2021,5,NA,NA
4133,1.26,Food Bank Usage ,m,n,124234,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2021,6,NA,NA
4134,1.26,Food Bank Usage ,m,n,113980,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2021,7,NA,NA
4135,1.26,Food Bank Usage ,m,n,112391,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2021,8,NA,NA
4136,1.26,Food Bank Usage ,m,n,116626,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2021,9,NA,NA
4137,1.26,Food Bank Usage ,m,n,116278,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2021,10,NA,NA
4138,1.26,Food Bank Usage ,m,n,126820,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2021,11,NA,NA
4139,1.26,Food Bank Usage ,m,n,120588,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2021,12,NA,Food bank use increased during COVID-19 likely due to both new clients and existing clients using food banks more often.
4140,1.26,Food Bank Usage ,m,n,111231,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2022,1,NA,"From May 2020 - April 2022, food bank use increased during COVID-19 likely due to both new clients and existing clients using food banks more often."
4141,1.26,Food Bank Usage ,m,n,127837,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2022,2,NA,NA
4142,1.26,Food Bank Usage ,m,n,160290,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2022,3,NA,NA
4143,1.26,Food Bank Usage ,m,n,143671,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2022,4,NA,NA
4144,1.26,Food Bank Usage ,m,n,151758,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2022,5,NA,NA
4145,1.26,Food Bank Usage ,m,n,171631,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2022,6,NA,NA
4146,1.26,Food Bank Usage ,m,n,153990,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2022,7,NA,"Compared to quarters 1,2 and 3 of 2021, the current year has seen 20%, 33% and 52% increases of client visits in the corresponding quarters."
4147,1.26,Food Bank Usage ,m,n,182269,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2022,8,NA,NA
4148,1.26,Food Bank Usage ,m,n,186103,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2022,9,NA,NA
